class_id,prototype_id,part_id,mean_presence,num_images,is_consistent
12,121,1,0.7372448979591837,392,False
12,121,2,0.7660668380462725,389,False
12,121,3,0.7430939226519337,362,False
12,121,4,0.10382513661202186,366,False
12,121,5,0.0,9,False
12,136,1,0.625,392,False
12,136,2,0.30848329048843187,389,False
12,136,3,0.6132596685082873,362,False
12,136,4,0.6147540983606558,366,False
12,136,5,0.5555555555555556,9,False
12,243,1,0.45153061224489793,392,False
12,243,2,0.14395886889460155,389,False
12,243,3,0.430939226519337,362,False
12,243,4,0.73224043715847,366,False
12,243,5,0.6666666666666666,9,False
13,180,1,0.0860655737704918,244,False
13,180,2,0.06147540983606557,244,False
13,180,3,0.09767441860465116,215,False
13,180,4,0.12334801762114538,227,False
13,180,5,0.0,1,False
13,189,1,0.4918032786885246,244,False
13,189,2,0.5491803278688525,244,False
13,189,3,0.46511627906976744,215,False
13,189,4,0.3568281938325991,227,False
13,189,5,0.0,1,False
14,8,1,0.9297872340425531,470,True
14,8,2,0.13390928725701945,463,True
14,8,3,0.7532188841201717,466,True
14,8,4,0.42272727272727273,440,True
14,8,5,0.6924686192468619,478,True
14,28,1,0.274468085106383,470,True
14,28,2,0.9740820734341252,463,True
14,28,3,0.6888412017167382,466,True
14,28,4,0.7159090909090909,440,True
14,28,5,0.7092050209205021,478,True
14,36,1,0.5914893617021276,470,True
14,36,2,0.9546436285097192,463,True
14,36,3,0.778969957081545,466,True
14,36,4,0.7431818181818182,440,True
14,36,5,0.7615062761506276,478,True
14,65,1,0.9404255319148936,470,True
14,65,2,0.5226781857451404,463,True
14,65,3,0.927038626609442,466,True
14,65,4,0.75,440,True
14,65,5,0.8472803347280334,478,True
14,70,1,0.8212765957446808,470,True
14,70,2,0.8704103671706264,463,True
14,70,3,0.9399141630901288,466,True
14,70,4,0.8272727272727273,440,True
14,70,5,0.8430962343096234,478,True
14,115,1,0.8893617021276595,470,True
14,115,2,0.09503239740820735,463,True
14,115,3,0.8841201716738197,466,True
14,115,4,0.6068181818181818,440,True
14,115,5,0.8179916317991632,478,True
14,128,1,0.9404255319148936,470,True
14,128,2,0.35853131749460043,463,True
14,128,3,0.8648068669527897,466,True
14,128,4,0.5818181818181818,440,True
14,128,5,0.7907949790794979,478,True
14,175,1,0.3617021276595745,470,True
14,175,2,0.3758099352051836,463,True
14,175,3,0.7939914163090128,466,True
14,175,4,0.6954545454545454,440,True
14,175,5,0.8577405857740585,478,True
14,226,1,0.11063829787234042,470,True
14,226,2,0.9049676025917927,463,True
14,226,3,0.723175965665236,466,True
14,226,4,0.7931818181818182,440,True
14,226,5,0.7092050209205021,478,True
15,179,1,0.30434782608695654,46,False
15,179,2,0.09259259259259259,54,False
15,179,3,0.17777777777777778,45,False
15,179,4,0.09090909090909091,33,False
15,179,5,0.2625,80,False
15,249,1,0.2391304347826087,46,False
15,249,2,0.25925925925925924,54,False
15,249,3,0.4222222222222222,45,False
15,249,4,0.3939393939393939,33,False
15,249,5,0.375,80,False
16,7,1,0.5068493150684932,73,False
16,7,2,0.41818181818181815,55,False
16,7,3,0.3888888888888889,54,False
16,7,4,0.3333333333333333,39,False
16,7,5,0.4666666666666667,75,False
16,93,1,0.2876712328767123,73,False
16,93,2,0.6909090909090909,55,False
16,93,3,0.7037037037037037,54,False
16,93,4,0.5384615384615384,39,False
16,93,5,0.48,75,False
16,244,1,0.5753424657534246,73,False
16,244,2,0.01818181818181818,55,False
16,244,3,0.18518518518518517,54,False
16,244,4,0.0,39,False
16,244,5,0.4266666666666667,75,False
