class_id,prototype_id,part_id,mean_presence,num_images,is_consistent
12,110,1,0.3852040816326531,392,False
12,110,2,0.05398457583547558,389,False
12,110,3,0.3314917127071823,362,False
12,110,4,0.5409836065573771,366,False
12,110,5,0.3333333333333333,9,False
12,111,1,0.6096938775510204,392,False
12,111,2,0.6015424164524421,389,False
12,111,3,0.4972375690607735,362,False
12,111,4,0.25956284153005466,366,False
12,111,5,0.2222222222222222,9,False
12,112,1,0.5127551020408163,392,True
12,112,2,0.8277634961439588,389,True
12,112,3,0.4005524861878453,362,True
12,112,4,0.15300546448087432,366,True
12,112,5,0.2222222222222222,9,True
12,113,1,0.41581632653061223,392,False
12,113,2,0.1928020565552699,389,False
12,113,3,0.4696132596685083,362,False
12,113,4,0.45081967213114754,366,False
12,113,5,0.4444444444444444,9,False
12,114,1,0.6071428571428571,392,False
12,114,2,0.17737789203084833,389,False
12,114,3,0.36464088397790057,362,False
12,114,4,0.17486338797814208,366,False
12,114,5,0.0,9,False
12,115,1,0.6326530612244898,392,False
12,115,2,0.11311053984575835,389,False
12,115,3,0.3756906077348066,362,False
12,115,4,0.1092896174863388,366,False
12,115,5,0.0,9,False
12,116,1,0.3163265306122449,392,False
12,116,2,0.05912596401028278,389,False
12,116,3,0.24861878453038674,362,False
12,116,4,0.5355191256830601,366,False
12,116,5,0.3333333333333333,9,False
12,117,1,0.461734693877551,392,False
12,117,2,0.596401028277635,389,False
12,117,3,0.48342541436464087,362,False
12,117,4,0.1994535519125683,366,False
12,117,5,0.3333333333333333,9,False
12,118,1,0.42091836734693877,392,False
12,118,2,0.028277634961439587,389,False
12,118,3,0.3839779005524862,362,False
12,118,4,0.34972677595628415,366,False
12,118,5,0.0,9,False
12,119,1,0.42091836734693877,392,False
12,119,2,0.7686375321336761,389,False
12,119,3,0.4171270718232044,362,False
12,119,4,0.19672131147540983,366,False
12,119,5,0.3333333333333333,9,False
13,120,1,0.20901639344262296,244,True
13,120,2,0.2786885245901639,244,True
13,120,3,0.24651162790697675,215,True
13,120,4,0.22466960352422907,227,True
13,120,5,1.0,1,True
13,121,1,0.319672131147541,244,False
13,121,2,0.05737704918032787,244,False
13,121,3,0.27906976744186046,215,False
13,121,4,0.10572687224669604,227,False
13,121,5,0.0,1,False
13,122,1,0.25,244,True
13,122,2,0.3483606557377049,244,True
13,122,3,0.2837209302325581,215,True
13,122,4,0.1013215859030837,227,True
13,122,5,1.0,1,True
13,123,1,0.20491803278688525,244,False
13,123,2,0.040983606557377046,244,False
13,123,3,0.17209302325581396,215,False
13,123,4,0.3920704845814978,227,False
13,123,5,0.0,1,False
13,124,1,0.1721311475409836,244,False
13,124,2,0.0778688524590164,244,False
13,124,3,0.17209302325581396,215,False
